Date,Close,MA_7,MA_30,MA_90,shortwave_radiation_sum,temperature_2m_mean,sunshine_duration,precipitation_sum,precipitation_hours
2001-03-21,211.75,211.53571428571428,212.74166666666667,215.2888888888889,11.03,3.2529166,27562.45,0.0,0.0
2001-03-22,208.5,210.46428571428572,212.60833333333332,215.18333333333334,15.83,6.338333,34090.734,0.0,0.0
2001-03-23,206.0,209.67857142857142,212.40833333333333,215.05,8.53,2.1529164,19493.707,4.2,4.0
2001-03-24,206.0,208.89285714285714,212.275,214.91666666666666,22.32,-4.467916,40943.62,0.0,0.0
2001-03-25,206.0,208.10714285714286,212.14166666666668,214.78333333333333,19.01,-5.761666,37265.734,0.0,0.0
2001-03-26,208.5,208.07142857142858,212.09166666666667,214.65555555555557,22.98,-5.336668,41154.15,0.0,0.0
2001-03-27,210.25,208.14285714285714,212.1,214.54444444444445,23.1,-2.5262501,41335.465,0.0,0.0
2001-03-28,210.5,207.96428571428572,212.125,214.42777777777778,7.65,1.31125,3600.0,1.6,7.0
2001-03-29,209.5,208.10714285714286,212.125,214.28333333333333,8.9,4.3425,8238.532,0.4,1.0
2001-03-30,206.5,208.17857142857142,211.96666666666667,214.10555555555555,10.03,5.4466667,15138.064,0.0,0.0
